"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20643","test_login","","Mon Jan 27 18:27:35 UTC 2025","broken","Mon Jan 27 18:27:56 UTC 2025","Test_001_Login","test_login","",""
"","24497","test_login","","Mon Jan 27 18:27:56 UTC 2025","passed","Mon Jan 27 18:28:20 UTC 2025","Test_001_Login","test_login1","",""
